stop_id,stop_name,address,city,state_province,postal_code,latitude,longitude,fuel_regular_price,fuel_midgrade_price,fuel_premium_price,fuel_diesel_price,stop_type,country,currency,company_name,stop_company_name,RV Dump,Dental Services,Casino,Electric Vehicle Charging Station,Drug Testing Services,Check Cashing,Check Cashing Services,Pet Wash Station,RV Dump Service,Commercial Truck Oil Change,TirePass In-Service Center,Bulk DEF,Dollar Bill's Slots,Electric Svc,International® Warranty,Lottery,Speedco On-Site,Propane Tank Exchange,Preventative Maintenance,Amazon Pickup,Propane Fill Up Services,Liquor Store,Radioshack,Verizon Wireless,Live Parking,Ministry Services,BITCOIN ATM,Pet Area,Cylinder Propane,Premium Wifi,Handicapped Parking,Urgent Care,Prime Parking Spaces,Restaurant,Video Gaming,Lodging,Fleet Cards Accepted,Total Diesel Dispensers/Lanes,Laundry Room,Freightliner® ExpressPoint℠,Game Room,Wi-Fi - Premium,Private Showers,Bulk Propane,Wifi,Fast Fill CNG (Auto),Wi-Fi,RV Hookup,CAT Scale,RFID Pump Start,Speedzone,Diesel Mobile Fueling,Video Gaming Terminal,Embroidery Shop,Other Lube Services,Transflo Express Scanning,Dog Park,Fast Fill CNG (Class 8),Weigh Scale,Truck Parking Spaces,Bridgestone Tire Monitoring,RV Friendly Parking,Laundry Facility,EV Level 3 DCFC,CB Shop,Refrigerated Trailer Maintenance,Chrome Shop,Diesel Lanes,Car Wash,TransFlo,Western Union,Medical Services,Scale,RV Stop Nearby,Wi-Fi - Basic,Truck Wash,Travel Store,Theater Room,Book Store,Roadside Breakdown Solutions,Drivers Lounge,Full Service Restaurant,EV Tesla Level 3 DCFC,Paid Car Parking,Truck Parking,Engine Diagnostics,Brake Svc,IdleAir,QSR(s),Showers,Dog Wash,Permit Services,Electric Car Charging Station,Self Storage Nearby,Driver Lounge,DEF Lanes,Handicapped Showers,Truck Friendly,Barber Shop,Gas Brand,ATM Available,Chiropractor Services,Video Lottery Terminal,Tire Services,ATM,Transflo,eShop,Hotels Nearby,Pegasus,On-SITE Techs - Select Services,EV Level 2,Fax Machine,CAT Scales,Public Laundry,HVAC Svc,NG Certified Truck Service,Standard Services,Light Mechanical,Oil Changes,Expert Truck Alignments,Amazon Lockers
11186,KWIK STAR #1186,2030 21ST ST NW,ALTOONA,IA,50009,41.67222,-93.48256,2.899,,3.699,3.499,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,36,,,,,2,,,,,,,,y,,,,,,,2,,,,,,,y,,,,,,,,,
1932,KWIK STAR #932,120 ADVENTURELAND DR NE,ALTOONA,IA,50009,41.66261,-93.46394,2.899,,3.699,3.499,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,2,,,,,,,,,,,,,,,,
11158,KWIK STAR #1158,1910 ISAAC NEWTON DR,AMES,IA,50010,42.00856,-93.58731,2.999,,3.799,3.499,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,y,,,,,,,2,,,,,,,,,,,,,,,,
11016,KWIK STAR #1016,202 SE ORALABOR RD,ANKENY,IA,50021,41.70339,-93.59687,2.849,,3.649,3.499,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
11057,KWIK STAR #1057,320 NW 36TH ST,ANKENY,IA,50023,41.76115,-93.60368,2.899,,3.699,3.499,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
11705,KWIK STAR #1705,5007 53RD AVE,BETTENDORF,IA,52722,41.57464,-90.46295,2.899,,3.899,3.599,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
11039,KWIK STAR #1039,6910 MIDDLE RD,BETTENDORF,IA,52722,41.59301,-90.46202,2.999,,3.999,3.599,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,2,,,,,,,,,,,,,,,,
11007,KWIK STAR #1007,3510 BELMONT RD,BETTENDORF,IA,52722,41.55636,-90.48284,2.949,,3.949,3.389,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
1929,KWIK STAR #929,1001 UTICA RIDGE PL,BETTENDORF,IA,52722,41.55558,-90.51863,2.949,,3.949,3.599,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,2,,,,,,,,,,,,,,,,
1299,KWIK STAR #299,2283 53RD AVE,BETTENDORF,IA,52722,41.57449,-90.50023,2.899,,3.899,3.599,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
1303,KWIK STAR #303,4183 HIGHWAY 21,BROOKLYN,IA,52211,41.69181,-92.35729,2.999,,,3.599,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,110,,,,,9,,,,,,,,y,,,,,,,2,,,,,,,y,,,,,,,,,
1817,KWIK STAR #817,205 N MARYVILLE ST,CALMAR,IA,52132,43.18423,-91.86469,3.099,,,3.479,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,2,,,,,,,,,,,,,,,,
1632,KWIK STAR #632,803 7TH AVE,CAMANCHE,IA,52730,41.7875,-90.25722,3.039,,,3.599,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
1934,KWIK STAR #934,4515 CONEFLOWER PKWY,CEDAR FALLS,IA,50613,42.49775,-92.44306,3.049,,4.049,3.599,fuel,USA,USD,Schneider,KwikTrip,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
